week,control,treated
2025-12-29,16.307880794701987,16.26181818181818
2026-01-05,16.30528301886792,16.404999999999998
2026-01-12,16.338712121212122,16.282236842105263
2026-01-19,16.277811320754715,16.287402597402597
2026-01-26,16.28280303030303,16.45562091503268
2026-02-02,16.425488721804513,16.343636363636364
2026-02-09,16.264166666666664,16.329155844155846
2026-02-16,16.354469696969698,16.28272727272727
2026-02-23,16.34856060606061,16.387843137254904
2026-03-02,16.285751879699248,16.451103896103895
2026-03-09,16.29770676691729,16.375751633986926
2026-03-16,16.3537969924812,16.390714285714285
2026-03-23,16.41205323193916,16.30450980392157
2026-03-30,16.285131578947368,16.55636363636364
