week,control,treated
2025-12-29,16.307880794701987,16.26181818181818
2026-01-05,16.30528301886792,16.404999999999998
2026-01-12,16.338712121212122,16.282236842105263
2026-01-19,16.277811320754715,16.287402597402597
2026-01-26,16.28280303030303,16.45562091503268
2026-02-02,16.425488721804513,16.343636363636364
2026-02-09,16.264166666666664,16.329155844155846
2026-02-16,16.354469696969698,16.28272727272727
2026-02-23,16.34856060606061,16.387843137254904
2026-03-02,16.285751879699248,16.451103896103895
2026-03-09,16.29770676691729,16.375751633986926
2026-03-16,16.3537969924812,16.390714285714285
2026-03-23,16.41205323193916,16.30450980392157
2026-03-30,16.28019011406844,15.192792207792207
2026-04-06,16.32905303030303,14.451103896103895
2026-04-13,16.308345864661657,14.626363636363637
2026-04-20,16.31520754716981,14.697272727272727
2026-04-27,16.34924528301887,14.646381578947368
2026-05-04,16.25424812030075,14.573178807947022
2026-05-11,16.339736842105264,14.53235294117647
2026-05-18,16.44411320754717,14.762727272727274
2026-05-25,16.613609022556393,14.777402597402595
2026-06-01,16.871203007518798,15.052614379084968
2026-06-08,16.939811320754718,15.137124183006536
2026-06-15,16.856203007518797,15.189740259740258
2026-06-22,16.988452830188677,15.186818181818182
2026-06-29,16.888947368421054,14.827499999999999
